name,count
Hackney,2292
Camden,1622
Westminster,1603
Southwark,1511
Hammersmith & Fulham,1500
Lambeth,1429
Islington,1246
Kensington & Chelsea,1209
Ealing,980
Tower Hamlets,851
Wandsworth,759
Hounslow,695
Waltham Forest,627
Haringey,620
Newham,557
Richmond upon Thames,512
Merton,498
Brent,489
Lewisham,483
Croydon,414
Barnet,410
Kingston upon Thames,357
Enfield,355
Greenwich,353
Sutton,307
City of London,306
Bromley,299
Harrow,298
Hillingdon,294
Havering,275
Barking & Dagenham,265
Bexley,179
Redbridge,163
